Quantity,Card_Name
4,"Adeline, Resplendent Cathar"
4,"Brutal Cathar"
2,"Castle Ardenvale"
2,"Dauntless Bodyguard"
2,"Eiganjo, Seat of the Empire"
4,"Hopeful Initiate"
1,"Kytheon, Hero of Akros"
4,"Luminarch Aspirant"
4,"Mutavault"
4,"Ossification"
1,"Plains"
4,"Recruitment Officer"
3,"Skrelv, Defector Mite"
4,"Thalia's Lieutenant"
4,"Thalia, Guardian of Thraben"
2,"Guardian of Faith"
4,"Portable Hole"
3,"Reidane, God of the Worthy"
2,"Sword of Forge and Frontier"
4,"Wedding Announcement"
